target,guide,donor,context,n_cells,guide_median_supplied_activation_score,ntc_baseline_median_of_guide_medians,supplied_activation_score_delta,support_flag_lt_20_cells,generator_available,generator_admitted
FOXO1,FOXO1_2_CRISPRi,A,Resting-Teff,137,-275.59160663506998,-285.17266687930498,9.5810602442350046,false,true,true
IL2RA,IL2RA_1_CRISPRi,A,Resting-Teff,108,-297.15674569654698,-285.17266687930498,-11.984078817241993,false,true,true
IL2RA,IL2RA_2_CRISPRi,A,Resting-Teff,132,-297.52381765394301,-285.17266687930498,-12.351150774638029,false,true,true
IRF1,IRF1_1_CRISPRi,A,Resting-Teff,230,-284.34611860018049,-285.17266687930498,0.82654827912449491,false,true,true
IRF1,IRF1_2_CRISPRi,A,Resting-Teff,92,-244.20187535684198,-285.17266687930498,40.970791522463003,false,true,true
IRF2,IRF2_1_CRISPRi,A,Resting-Teff,182,-308.50419637187895,-285.17266687930498,-23.331529492573964,false,true,true
IRF2,IRF2_2_CRISPRi,A,Resting-Teff,142,-318.8164907616835,-285.17266687930498,-33.643823882378513,false,true,true
IRF4,IRF4_1_CRISPRi,A,Resting-Teff,136,-267.32864034656399,-285.17266687930498,17.844026532740997,false,true,false
IRF4,IRF4_2_CRISPRi,A,Resting-Teff,56,-231.84178282883451,-285.17266687930498,53.330884050470473,false,true,false
KLF13,KLF13_1_CRISPRi,A,Resting-Teff,222,-260.81441324628702,-285.17266687930498,24.358253633017966,false,true,false
KLF13,KLF13_2_CRISPRi,A,Resting-Teff,220,-286.70885515908753,-285.17266687930498,-1.5361882797825501,false,true,false
KLF2,KLF2_1_CRISPRi,A,Resting-Teff,152,-213.71349956084401,-285.17266687930498,71.45916731846097,false,true,true
KLF2,KLF2_2_CRISPRi,A,Resting-Teff,88,-260.182728175058,-285.17266687930498,24.989938704246981,false,true,true
LEF1,LEF1_1_CRISPRi,A,Resting-Teff,218,-266.17836509765749,-285.17266687930498,18.994301781647493,false,true,false
LEF1,LEF1_2_CRISPRi,A,Resting-Teff,174,-290.03032356725453,-285.17266687930498,-4.8576566879495431,false,true,false
