condition,n_generators,n_readout,projection_cosine,residual_fraction,heldout_cosine,heldout_null_mean,heldout_z,kkt_violation,active_support_size,seconds
Rest,6871,6188,0.6266290274312786,0.7793176900215535,0.4464114605104187,0.002937451842634595,29.129291741316994,1.0128869542291165e-11,715,139.3
Stim8hr,7155,6188,0.5235240543878785,0.852010894576635,0.29267912536606966,-0.0005503373000519388,17.829052177965337,4.9107944097715416e-12,713,138.4
Stim48hr,7195,6188,0.5328836947832118,0.8461884942695644,0.29940175368152105,0.002913881478185205,16.213443026788692,1.054196725679543e-11,793,153.3
